circuit_id,qubit,sparsity_by_layer,sparsity_by_time,mean_dt,sd_dt,hellinger_fidelity_no_dd,hellinger_fidelity_dd
GHZ_13,27,0.8157894736842105,0.9237240605720696,3294,2896,0.7253400446203389,0.7047365690432142
GHZ_13,28,0.8,0.9161936062145205,3066.5,2620.5,0.7253400446203389,0.7047365690432142
GHZ_13,29,0.78125,0.9044637122671805,2816.5,2342.5,0.7253400446203389,0.7047365690432142
GHZ_13,36,0.7586206896551724,0.8937991266375546,2558.5,2047.5,0.7253400446203389,0.7047365690432142
GHZ_13,46,0.65,0.8320216428922774,1691.5,1105.5,0.7253400446203389,0.7047365690432142
GHZ_13,47,0.6956521739130435,0.8583118001722653,1993,1432,0.7253400446203389,0.7047365690432142
GHZ_13,48,0.7307692307692308,0.8781989609390033,2282,1746,0.7253400446203389,0.7047365690432142
GHZ_13,55,0.5882352941176471,0.7917990181923188,1371,760,0.7253400446203389,0.7047365690432142
GHZ_13,65,0.5,0.7322751322751323,1038,402,0.7253400446203389,0.7047365690432142
GHZ_13,66,0.36363636363636365,0.644536653,699,25,0.7253400446203389,0.7047365690432142
GHZ_13,67,0.2222222222222222,0.31317204301075274,699,0,0.7253400446203389,0.7047365690432142
GHZ_13,68,0.33333333333333337,0.4775725593667546,724,0,0.7253400446203389,0.7047365690432142
